Title	Who	What	Link	Category
Dreams and Stories	Ritu Sharma	Short Stories. Experiences. Serial Novels.	https://dreamsandstories.substack.com/	
Series LOL	Rohit Shrivastav	The Onion for SaaS	https://serieslol.substack.com/	
CA Saahil Sharma	Saahil Sharma		https://www.instagram.com/reel/C7JcEu1P6kg/?igsh=NTF3c2JqNGp4aGtt	
amadermonmela	Sabitri Sanyal	Mental Health content in Bengali	https://www.youtube.com/@amadermonmela/featured	
Sunny climate, Stormy climate	Sailee Rane	Substack on Climate Change	https://sunnyclimatestormyclimate.substack.com/	
Cultural Crossroads	Sameena Dalwai	Podcast - cultural politics across the world with content across caste, capitalism, cities, being Muslim, being a feminist	https://open.spotify.com/show/6C6rOhLtEUALydd6qIAIeN	
Beneath the Walnut Tree	Saras Upadhyay	A monthly newsletter about the stories that unfold around me. The music and politics of life. About people and cats. About cricket and movies. And about love.	https://saras04.substack.com/	
The Hilsa Band	Sanhita Banerjee	Stories about life, struggles, culture, history and politics of Bengalis in NYC	https://open.spotify.com/show/5jlEO2agRO3psDNPLRQAfa?si=1aa7fb6790e54b45	
Sid Vaya	Siddharth Vaya	Forever moved by music, languages et. al	https://substack.com/@vayagra	
Shraddhaben Speaking	Shraddha Upadhyay	Substack - Musings and reflections	https://shraddhaupadhyay.substack.com/	
Shana, Ded Shana	Siddhesh Raut	Newsletter - Reflections on my reading life	https://siddheshraut.substack.com/	
Barely Making It	Shruti Shivaramakrishnan	Expect a mix of personal stories, survival tips, and raw reflections on navigating life when it throws you curveballs	https://blog.chronicallymeh.com/	
One Day at a Time	Soumitra Vatsal	I am reflecting on the world in and around me through anecdotes and stories as I go through books, movies, popular culture and life.	https://soumitravatsal.substack.com/	
Truth or Lakshmi	Sukrit Nagaraj	Madhav's happily never after has arrived too soon. Now, fostering a healthy relationship seems like a pipe dream.	https://truthorlakshmi.substack.com/	
Runaway Rhinosaur	Sumedha Mupparapu	Substack on children’s books	https://runawayrhinosaur.substack.com/	
